"COMPANY ID","OFFICE ID","HEAD OFFICE IND","OFFICE STATUS","ADDRESS LINE 1","ADDRESS LINE 2","ADDRESS LINE 3","ADDRESS LINE 4","TOWN/CITY","COUNTY/STATE","POST CODE 1","POST CODE 2","COUNTRY","TELEPHONE","FAX","EMAIL","WEBSITE","RECORD LAST UPDATED"
3179,43559,"Y","","16 Athinas Avenue & Vorreou Street","Vouliagmeni","","","Athens","","16671","","Greece","+30 210  8909 000","+30 210  8909 653","thena@thenamaris.com","www.thenamaris.com","19/02/2018"
11388,152065,"","","A.M. Nomikos (U.K.) & Son Ltd","40 Grosvenor Gardens","Victoria","","London","","SW1W 0DH","","United Kingdom","+44 20 7591 1800","+44 20 7591 1819","infosite@amnomikos.co.uk","www.amnomikos.com","21/02/2018"
11424,13774,"Y","","Bulowallee 2","P O Box 1262","","","Norderney","","26548","","Germany","+49 4932 9130","+49 4932 913 10","info@reederei-frisia.de","www.rederei-frisia.de","20/02/2018"
41519,53939,"","C","Akerbrygge ","","","","Oslo","","N-0021","","Norway","+47      2248 1050","+47      2248 2020","hans.pettersen@dnbnor.no","www.dnbnor.no","20/02/2018"
41519,109940,"","C","8 Shenton Way","","","","Singapore","","068811","","Republic of Singapore","+65   6220 6144","+65   6224 9743","dnbnor.singapore@dnbnor.no","www.dnbnor.no","20/02/2018"
41519,449929,"Y","","Dronning Eufemias Gate 30","","","","Oslo","","0191","","Norway","","","","www.dnb.no","20/02/2018"
41519,449930,"","","1 Wallich Street","#30-01 Guoco Tower","","","Singapore","","078881","","Republic of Singapore","","","","","20/02/2018"
42978,212530,"","","c/o Lot Ocean Transport Inc","1001 Brickell Bay Drive","Suite 2012","","Miami","FL","FL-33131","","United States of America","+1 305  373 2454","+1 305  373 2053","lot@lotocean.com","www.horizonshippingpanama.com","21/02/2018"
69680,28630,"Y","","Block 9006","93 Tampines Street 01-206","Tampines Industrial Park A","","Singapore","","528840","","Republic of Singapore","+65  6781 9682","+65  6785 3166","sales@centralstar.com.sg","","22/02/2018"
216156,139572,"Y","","Suite 25","21 River Road","","","Wilton","CT","CT-06897","","United States of America","+1 203  761 1147","+1 203  761 1227","fcc@fairfieldchemical.com","www.fairfieldchemical.com","20/02/2018"
243236,166800,"","","95 Akti Miaouli","","","","Piraeus","","185 38","","Greece","","","","","21/02/2018"
243236,449954,"Y","","Trust Company Complex","Ajeltake Road","Ajeltake Island","","Majuro","","MH96960","","Marshall Islands","","","","","21/02/2018"
243317,166891,"","","95 Akti Miaouli","","","","Piraeus","","185 38","","Greece","","","","","21/02/2018"
243317,449960,"Y","","Trust Company Complex","Ajeltake Road","Ajeltake Island","","Majuro","","MH96960","","Marshall Islands","","","","","21/02/2018"
251275,176079,"Y","","80 Broad Street","","","","Monrovia","","","","Liberia","","","","","20/02/2018"
260579,186749,"","C","F Kerim Gokay Caddesi Okul Sokak","Altunizade Sitesi A Blok Kat 4 Daire 19/20","Altunizade Uskudar","","Istanbul","","","","Turkey","+90 216  3274475","+90  216  4287216","oras@orasagency.com","","21/02/2018"
260579,449978,"Y","","Inkilap mah. Kucuksu cad.","Kesim sok. No 1-3 Floor 7 Room 13/14","Umraniye","","Istanbul","","","","Turkey","+90 216 327 42 42","+90 216 428 72 16","info@orasshipping.com","www.orasshipping.com","21/02/2018"
261451,450000,"Y","","","","","","Panama City","","","","Panama","","","","","22/02/2018"
268930,196256,"Y","","","","","","Piraeus","","","","Greece","","","","","21/02/2018"
302525,256876,"","","Tema Plaza","Sehit Ilknur Keles Sokak 8/8","Kozyatagi Mah","Kadikoy","Istanbul","","34742","","Turkey","","","","","21/02/2018"
302525,285057,"Y","","Buyukdere Cad.","Gazeteciler Sitesi Matbuat Sok. No.13","Esentepe","","Istanbul","","","","Turkey","+90 212 3376767","+90 212 3376799","","www.vakifleasing.com.tr","21/02/2018"
359609,312939,"","","Kalvebod Brygge 39-41","","","","Copenhagen","","1560","","Denmark","+45 39  970350","+45 70  141307","management@evergas.net","www.evergas.net","21/02/2018"
434044,385326,"Y","","Froyas Gate 15","","","","Oslo","","0273","","Norway","","","","","22/02/2018"
483283,431178,"Y","","Office 3","1st Floor ","Bulevardul Mamaia 50","","Constantza","","900663","","Romania","+40 341 450884","","ops@romarine.ro","www.romarine.ro","21/02/2018"
488857,437426,"Y","","Office 3","1st Floor","Bulevardul Mamaia 50","","Constantza","","900663","","Romania","","","","","21/02/2018"
488857,449964,"","","Trust Company Complex","Ajeltake Road","Ajeltake Island","","Majuro","","MH96960","","Marshall Islands","","","","","21/02/2018"
492179,440932,"Y","","Bergehus","Froyas Gate 15","","","Oslo","","0273","","Norway","","","","","22/02/2018"
492993,441878,"Y","","396, Marias Kiouri Street","Perama","","","Piraeus","","","","Greece","","","","","22/02/2018"
495705,111238,"","","3rd Floor, Saigon Paragon Building","03 Nguyen Luong Bang Street","Tan Phu Ward","District 7","Ho Chi Minh City","","","","Vietnam","","","","","20/02/2018"
500517,449912,"Y","","","","","","Bahamas","","","","Bahamas","","","","","19/02/2018"
500518,449913,"Y","","","","","","Japan","","","","Japan","","","","","19/02/2018"
500520,449915,"Y","","Trust Company Complex","Ajeltake Road","Ajeltake Island","","Majuro","","MH96960","","Marshall Islands","","","","","20/02/2018"
500521,449916,"Y","","Trust Company Complex","Ajeltake Road","Ajeltake Island","","Majuro","","MH96960","","Marshall Islands","","","","","20/02/2018"
500525,449919,"Y","","Trust Company Complex","Ajeltake Road","Ajeltake Island","","Majuro","","MH96960","","Marshall Islands","","","","","20/02/2018"
500529,449924,"Y","","80 Broad Street","","","","Monrovia","","","","Liberia","","","","","20/02/2018"
500530,449925,"Y","","","","","","Unknown","","","","Unknown","","","","","20/02/2018"
500532,449928,"Y","","Trust Company Complex","Ajeltake Road","Ajeltake Island","","Majuro","","MH96960","","Marshall Islands","","","","","20/02/2018"
500549,449946,"Y","","Trust Company Complex","Ajeltake Road","Ajeltake Island","","Majuro","","MH96960","","Marshall Islands","","","","","21/02/2018"
500550,449947,"Y","","Trust Company Complex","Ajeltake Road","Ajeltake Island","","Majuro","","MH96960","","Marshall Islands","","","","","21/02/2018"
500552,449949,"Y","","","","","","Panama City","","","","Panama","","","","","21/02/2018"
500554,449951,"Y","","80 Broad Street","","","","Monrovia","","","","Liberia","","","","","21/02/2018"
500555,449953,"Y","","","","","","Greece","","","","Greece","","","","","21/02/2018"
500558,449956,"Y","","","","","","British Virgin Islands","","","","British Virgin Islands","","","","","21/02/2018"
500559,449957,"Y","","24 Akti Poseidonos","","","","Piraeus","","","","Greece","","","","","21/02/2018"
500560,449958,"Y","","","","","","Hong Kong","","","","Hong Kong","","","","","21/02/2018"
500561,449959,"Y","","","","","","Greece","","","","Greece","","","","","21/02/2018"
500562,449961,"Y","","Daire 55","Kat 9 Dumankaya Vizyon Sitesi","Milangaz Caddessi 77","Esentepe Mah Kartal","Istanbul","","","","Turkey","","","","","21/02/2018"
500564,449962,"Y","","","","","","Piraeus","","","","Greece","","","","","21/02/2018"
500565,449965,"Y","","","","","","Liberia","","","","Liberia","","","","","21/02/2018"
500567,449967,"Y","","","","","","Norway","","","","Norway","","","","","21/02/2018"
500568,449968,"Y","","Nedre Bekkegate 1-3","","","","Egersund","","4370","","Norway","","","","","21/02/2018"
500570,449970,"Y","","","","","","Bangkok","","","","Thailand","","","","","21/02/2018"
500571,449971,"Y","","14-12 ","Uno 1-chome","","","Tamano","Okayama Pref.","706-0011","","Japan","","","","","21/02/2018"
500572,449972,"Y","","","","","","Piraeus","","","","Greece","","","","","21/02/2018"
500573,449973,"Y","","5-10 Maruyama-cho 4-chome","","","","Shimonoseki","Yamaguchi Pref.","750-0019","","Japan","","","","","21/02/2018"
500574,449974,"Y","","","","","","Valletta","","","","Malta","","","","","21/02/2018"
500575,449975,"Y","","","","","","Unknown","","","","Unknown","","","","","21/02/2018"
500576,449976,"Y","","","","","","Valletta","","","","Malta","","","","","21/02/2018"
500578,449980,"Y","","Saray Mahallesi Dr. Adnan Buyukdeniz Cad.","A1 Blok No.7A Umraniye","","","Istanbul","","","","Turkey","","+90 212 3167126","","www.vakifbank.com.tr","21/02/2018"
500580,449981,"Y","","Building B","348 Andrea Syngrou Avenue","","","Athens","","176 74","","Greece","","","","","21/02/2018"
500586,449987,"Y","","","","","","Greece","","","","Greece","","","","","22/02/2018"
500588,449989,"Y","","","","","","Greece","","","","Greece","","","","","22/02/2018"
