"ETA ID","VESSEL ID","PLACE ID","ETA","TERMINAL","VOYAGE","ETA SOURCE","RECORD CREATED","RECORD LAST UPDATED"
282794120,5271,4244,"22/02/2018 23:00","","","AIS","22/02/2018 09:11:01","22/02/2018 09:11:02"
282712263,6620,2688,"20/02/2018 23:30","","","AIS","20/02/2018 19:07:01","20/02/2018 19:07:01"
282757997,6620,2031,"25/02/2018 10:00","","","AIS","21/02/2018 21:05:01","21/02/2018 21:05:02"
282677670,10263,798,"20/02/2018 00:30","","","AIS","20/02/2018 01:04:03","20/02/2018 01:04:03"
282738868,11257,2779,"21/02/2018 06:00","","","AIS","21/02/2018 01:09:00","21/02/2018 01:09:03"
282678663,16121,7540,"20/02/2018 07:00","","","AIS","20/02/2018 03:04:00","20/02/2018 03:04:01"
282757144,16121,4400,"21/02/2018 22:00","","","AIS","21/02/2018 19:04:04","21/02/2018 19:04:04"
282798538,16121,7880,"22/02/2018 15:30","","","AIS","22/02/2018 13:05:00","22/02/2018 13:05:02"
282706464,17060,843,"21/02/2018 05:00","","","AIS","20/02/2018 11:05:03","20/02/2018 11:05:04"
282796857,17060,4538,"21/02/2018 21:00","","","LAN","22/02/2018 10:11:00","22/02/2018 10:11:01"
282799682,17060,576,"22/02/2018 15:30","","","LAN","22/02/2018 14:21:01","22/02/2018 14:21:02"
282800777,17060,576,"22/02/2018 22:00","","","AIS","22/02/2018 15:04:01","22/02/2018 15:04:02"
282665054,17362,2688,"19/02/2018 19:30","","","AIS","19/02/2018 15:04:01","19/02/2018 15:04:01"
282742786,17362,2031,"26/02/2018 12:30","","","AIS","21/02/2018 07:08:04","21/02/2018 07:08:05"
282711778,23176,5142,"21/02/2018 05:30","","","AIS","20/02/2018 18:05:02","20/02/2018 18:05:03"
282801208,23176,4289,"22/02/2018 17:30","","","AIS","22/02/2018 16:06:00","22/02/2018 16:06:01"
282737561,23200,5708,"27/02/2018 04:00","","","AIS","21/02/2018 00:05:00","21/02/2018 00:05:00"
282751313,24071,2760,"21/02/2018 19:00","","","AIS","21/02/2018 11:06:04","21/02/2018 11:06:05"
282794223,24125,3428,"21/02/2018 08:30","","","AIS","22/02/2018 09:11:01","22/02/2018 09:11:03"
282714186,24465,4175,"21/02/2018 07:00","","","AIS","20/02/2018 21:05:02","20/02/2018 21:05:03"
282794163,30235,5485,"21/02/2018 00:01","","","AIS","22/02/2018 09:11:01","22/02/2018 09:11:03"
282766731,30447,4065,"22/02/2018 08:00","","","LAN","21/02/2018 23:45:01","21/02/2018 23:45:03"
282682736,30447,4065,"22/02/2018 12:00","","","AIS","20/02/2018 07:05:01","20/02/2018 07:05:03"
282710254,30456,2581,"27/02/2018 13:00","","","AIS","20/02/2018 16:02:00","20/02/2018 16:02:01"
282678610,32067,3589,"20/02/2018 08:00","","","AIS","20/02/2018 03:04:00","20/02/2018 03:04:01"
282714478,32067,4702,"21/02/2018 15:00","","","AIS","20/02/2018 21:05:02","20/02/2018 21:05:03"
282692874,33042,5756,"20/02/2018 00:00","","","LAN","20/02/2018 10:01:04","20/02/2018 10:01:04"
282665472,33042,5756,"20/02/2018 05:00","","","AIS","19/02/2018 15:04:01","19/02/2018 15:04:01"
282742227,33042,2993,"21/02/2018 18:00","","","AIS","21/02/2018 06:10:01","21/02/2018 06:10:01"
282793492,33042,830,"22/02/2018 10:00","","","AIS","22/02/2018 08:09:02","22/02/2018 08:09:02"
282738972,35441,4352,"04/03/2018 19:00","","","AIS","21/02/2018 01:09:00","21/02/2018 01:09:04"
282749397,37063,2688,"26/02/2018 16:00","","","AIS","21/02/2018 09:09:02","21/02/2018 09:09:03"
282702973,41422,1080,"21/02/2018 06:15","","","LAN","20/02/2018 10:07:00","20/02/2018 10:07:01"
282797869,41422,2688,"02/03/2018 12:00","","","AIS","22/02/2018 12:03:00","22/02/2018 12:03:00"
282742541,45212,4912,"21/02/2018 07:30","","","AIS","21/02/2018 06:11:01","21/02/2018 06:11:01"
282754847,45212,4279,"22/02/2018 04:00","","","AIS","21/02/2018 16:05:03","21/02/2018 16:05:03"
282682738,46116,2031,"26/02/2018 06:00","","","AIS","20/02/2018 07:05:01","20/02/2018 07:05:03"
282797707,50516,4604,"24/02/2018 12:00","","","AIS","22/02/2018 11:04:02","22/02/2018 11:04:02"
282800508,50675,2041,"24/02/2018 20:00","","","AIS","22/02/2018 15:04:01","22/02/2018 15:04:02"
282751491,50751,4192,"21/02/2018 11:20","","","AIS","21/02/2018 11:06:04","21/02/2018 11:06:05"
282799069,51675,8332,"22/02/2018 19:00","","","AIS","22/02/2018 14:03:02","22/02/2018 14:03:03"
282683435,52345,1080,"20/02/2018 10:00","","","AIS","20/02/2018 08:05:01","20/02/2018 08:05:01"
282781098,52345,1080,"26/02/2018 05:01","","","LAN","21/02/2018 23:55:03","21/02/2018 23:55:03"
282782873,55671,6214,"25/02/2018 19:00","","","AIS","22/02/2018 01:05:04","22/02/2018 01:05:04"
282752120,55671,3378,"26/02/2018 18:00","","","AIS","21/02/2018 12:07:04","21/02/2018 12:07:05"
282706364,56714,689,"20/02/2018 16:00","","","AIS","20/02/2018 10:10:01","20/02/2018 10:10:01"
282780382,60552,5094,"01/06/2018 12:00","","","LAN","21/02/2018 23:54:03","21/02/2018 23:54:03"
282757216,61714,5554,"20/02/2018 14:00","","","AIS","21/02/2018 19:04:04","21/02/2018 19:04:04"
282715911,61714,6214,"10/03/2018 10:00","","","AIS","20/02/2018 23:05:00","20/02/2018 23:05:01"
282761619,63750,2762,"22/02/2018 00:00","","","LAN","21/02/2018 23:39:00","21/02/2018 23:39:02"
282798248,63750,3486,"23/02/2018 07:00","","","AIS","22/02/2018 12:03:00","22/02/2018 12:03:01"
282793532,65527,8577,"22/02/2018 08:00","","","AIS","22/02/2018 08:09:02","22/02/2018 08:09:02"
282794585,65527,3486,"04/03/2018 03:00","","","LAN","22/02/2018 09:40:03","22/02/2018 09:40:04"
282758340,67347,2688,"25/02/2018 06:00","","","AIS","21/02/2018 21:05:01","21/02/2018 21:05:03"
282683394,67606,4165,"20/02/2018 10:00","","","AIS","20/02/2018 08:05:01","20/02/2018 08:05:01"
282784646,67606,3839,"22/02/2018 08:00","","","AIS","22/02/2018 04:05:02","22/02/2018 04:05:02"
282711918,70747,2581,"22/02/2018 16:00","","","AIS","20/02/2018 18:05:02","20/02/2018 18:05:03"
282752089,71022,1590,"21/02/2018 11:30","","","AIS","21/02/2018 12:07:04","21/02/2018 12:07:05"
282799001,74447,1590,"21/02/2018 23:00","","","AIS","22/02/2018 14:03:02","22/02/2018 14:03:03"
282706983,75402,2003,"24/02/2018 22:00","","","AIS","20/02/2018 12:05:02","20/02/2018 12:05:02"
282794774,75402,2239,"24/02/2018 22:00","","","LAN","22/02/2018 09:40:03","22/02/2018 09:40:10"
282756561,101370,8842,"20/02/2018 17:18","","","AIS","21/02/2018 18:05:00","21/02/2018 18:05:01"
282671805,101715,7502,"20/02/2018 09:30","","","AIS","19/02/2018 21:04:00","19/02/2018 21:04:01"
282757300,101715,677,"22/02/2018 20:00","","","AIS","21/02/2018 19:05:04","21/02/2018 19:05:04"
282706468,102737,915,"20/02/2018 16:00","","","AIS","20/02/2018 11:05:03","20/02/2018 11:05:04"
282756609,104255,3434,"21/02/2018 20:45","","","AIS","21/02/2018 18:05:00","21/02/2018 18:05:01"
282677952,106410,4345,"21/02/2018 12:00","","","AIS","20/02/2018 01:04:03","20/02/2018 01:04:03"
282683355,107362,941,"24/02/2018 10:00","","","AIS","20/02/2018 08:05:01","20/02/2018 08:05:01"
282751303,107777,3326,"21/02/2018 14:30","","","AIS","21/02/2018 11:06:04","21/02/2018 11:06:05"
282741266,110000,3444,"23/02/2018 20:00","","","AIS","21/02/2018 05:04:01","21/02/2018 05:04:01"
282746556,110547,3164,"21/02/2018 10:00","","","LAN","21/02/2018 07:30:00","21/02/2018 07:30:01"
282798650,111214,1831,"22/02/2018 13:00","","","AIS","22/02/2018 13:05:00","22/02/2018 13:05:03"
282757365,111254,8721,"20/02/2018 17:00","","","AIS","21/02/2018 19:05:04","21/02/2018 19:05:04"
282783263,111540,2877,"22/02/2018 06:00","","","AIS","22/02/2018 02:15:01","22/02/2018 02:15:02"
282752098,111565,689,"21/02/2018 12:00","","","AIS","21/02/2018 12:07:04","21/02/2018 12:07:05"
282759455,112173,2309,"21/02/2018 08:30","","","AIS","21/02/2018 22:06:00","21/02/2018 22:06:01"
282793629,112173,3126,"22/02/2018 07:05","","","AIS","22/02/2018 08:09:02","22/02/2018 08:09:02"
282671429,112441,1891,"23/02/2018 15:00","","","AIS","19/02/2018 20:05:02","19/02/2018 20:05:02"
282675690,113046,5775,"20/02/2018 19:00","","","AIS","19/02/2018 23:04:01","19/02/2018 23:04:01"
