"VESSEL ID","PSC ID","EVENT TYPE","INSPECTION PLACE","INITIAL DATE","INITIAL DATE QUALIFIER","FINAL DATE","FINAL DATE QUALIFIER","DETENTION IND","DEFICIENCIES IND","INSPECTION PRECIS","RECORD LAST UPDATED"
1158569,14250411,"PSC","St. Eustatius","15/02/2017","","","","Y","N","","22/02/2018"
372971,14250443,"PSC","Bonaire","16/02/2017","","","","Y","N","","22/02/2018"
10526447,14250463,"PSC","Bonaire","16/02/2017","","","","Y","N","","22/02/2018"
399158,14282160,"PSC","St. Eustatius","24/02/2017","","","","Y","N","","22/02/2018"
328659,14282167,"PSC","Bullen Bay","23/02/2017","","","","Y","N","","22/02/2018"
358481,14282168,"PSC","Bullen Bay","23/02/2017","","","","Y","N","","22/02/2018"
345331,14282171,"PSC","St. Eustatius","22/02/2017","","","","Y","N","","22/02/2018"
763585,14282172,"PSC","St. Eustatius","20/02/2017","","","","Y","N","","22/02/2018"
8996521,14282173,"PSC","St. Eustatius","23/02/2017","","","","Y","N","","22/02/2018"
563173,14291374,"PSC","St. Eustatius","01/03/2017","","","","Y","N","","22/02/2018"
11433,14291375,"PSC","Kingston(JAM)","22/02/2017","","","","Y","N","","22/02/2018"
350570,14319670,"PSC","St. Eustatius","06/03/2017","","","","Y","N","","22/02/2018"
371204,14319675,"PSC","Bonaire","06/03/2017","","","","Y","N","","22/02/2018"
273260,14319677,"PSC","Bonaire","07/03/2017","","","","Y","N","","22/02/2018"
284646,14344462,"PSC","Bonaire","13/03/2017","","","","Y","N","","22/02/2018"
255722,14344468,"PSC","Bonaire","16/03/2017","","","","Y","N","","22/02/2018"
350698,14344469,"PSC","Bonaire","14/03/2017","","","","Y","N","","22/02/2018"
356243,14366668,"PSC","St. Eustatius","22/03/2017","","","","Y","N","","22/02/2018"
273851,14366670,"PSC","Bonaire","21/03/2017","","","","Y","N","","22/02/2018"
314714,14403668,"PSC","Bullen Bay","05/04/2017","","","","Y","N","","22/02/2018"
6514570,14403673,"PSC","St. Eustatius","06/04/2017","","","","Y","N","","22/02/2018"
361467,14429472,"PSC","St. Eustatius","12/04/2017","","","","Y","N","","22/02/2018"
752209,14429473,"PSC","Pointe a Pitre","12/04/2017","","","","Y","N","","22/02/2018"
1756334,14429476,"PSC","St. Eustatius","07/04/2017","","","","Y","N","","22/02/2018"
338613,14459815,"PSC","St. Eustatius","20/04/2017","","","","Y","N","","22/02/2018"
360018,14459816,"PSC","Willemstad(CUW)","10/04/2017","","","","Y","N","","22/02/2018"
749022,14459824,"PSC","Bonaire","20/04/2017","","","","Y","N","","22/02/2018"
234513,14491243,"PSC","Curacao","21/04/2017","","","","Y","N","","22/02/2018"
350067,14559742,"PSC","St. Eustatius","09/05/2017","","","","Y","N","","22/02/2018"
12243548,14559749,"PSC","Fort de France","09/05/2017","","","","Y","N","","22/02/2018"
12256779,14584855,"PSC","St. Eustatius","12/05/2017","","","","Y","N","","22/02/2018"
335806,14584860,"PSC","Bonaire","12/05/2017","","","","Y","N","","22/02/2018"
9686440,14584864,"PSC","St. Eustatius","17/05/2017","","","","Y","N","","22/02/2018"
328881,14610028,"PSC","Bonaire","19/05/2017","","","","Y","N","","22/02/2018"
12256765,14610031,"PSC","St. Eustatius","22/05/2017","","","","Y","N","","22/02/2018"
4583131,14636683,"PSC","St. Eustatius","30/05/2017","","","","Y","N","","22/02/2018"
9013607,14636685,"PSC","Kingston(JAM)","27/05/2017","","","","Y","N","","22/02/2018"
328717,14636693,"PSC","St. Eustatius","26/05/2017","","","","Y","N","","22/02/2018"
748358,14636694,"PSC","St. Eustatius","29/05/2017","","","","Y","N","","22/02/2018"
10326001,14662557,"PSC","Bonaire","02/06/2017","","","","Y","N","","22/02/2018"
358309,14687904,"PSC","St. Eustatius","13/06/2017","","","","Y","N","","22/02/2018"
353880,14742244,"PSC","St. Eustatius","29/06/2017","","","","Y","N","","22/02/2018"
335879,14768915,"PSC","George Town(CYM)","05/07/2017","","","","Y","N","","22/02/2018"
355902,14768918,"PSC","St. Eustatius","03/07/2017","","","","Y","N","","22/02/2018"
755548,14793208,"PSC","Belize City","12/07/2017","","","","Y","N","","22/02/2018"
341286,14843583,"PSC","St. Eustatius","27/07/2017","","","","Y","N","","22/02/2018"
362908,14843584,"PSC","Willemstad(CUW)","06/07/2017","","","","Y","N","","22/02/2018"
339413,14868395,"PSC","Willemstad(CUW)","21/07/2017","","","","Y","N","","22/02/2018"
306485,14883740,"PSC","St. Eustatius","09/08/2017","","","","Y","N","","22/02/2018"
747613,14883744,"PSC","George Town(CYM)","09/08/2017","","","","Y","N","","22/02/2018"
301241,14883745,"PSC","St. Eustatius","07/08/2017","","","","Y","N","","22/02/2018"
