"VESSEL ID","IMO","VESSEL NAME","YEAR OF BUILD","FLAG","GROSS","NET","DWT","GEN TYPE","SUB TYPE","VESSEL TYPE","STATUS","GRAIN CAPACITY","TEU CAPACITY","LT TONNES","RECORD LAST UPDATED"
1422,5146249,"Stamatoula Kalliopi",1962,"GRC",487,212,880,"T","PD","product tanker","L","","","","20/02/2018"
1664,7006338,"Ariston",1970,"ITA",1104,554,1820,"T","WN","wine tanker","L","","","","22/02/2018"
2057,7431698,"Iduna",1975,"NIS",2198,660,2645,"L","PG","Liquefied Petroleum Gas Carrier","L","","","","19/02/2018"
5271,6721151,"Lola-I",1967,"VCT",624,196,760,"B","CE","bulk cement carrier","L","700","","","22/02/2018"
6620,7104972,"Freedom",1971,"LBN",1879,655,2794,"M","LV","livestock","L","","","","21/02/2018"
10263,6806444,"Chemical Pioneer",1968,"USA",21760,9742,34930,"T","CH","chemical tanker","L","","","12269","22/02/2018"
10340,7405091,"Water Clubs",1976,"PLW",1875,1128,3147,"M","LV","livestock","L","3767","72","1027","22/02/2018"
11257,6909909,"Naxos",1969,"ITA",1429,612,2176,"T","WN","wine tanker","L","","","","21/02/2018"
11674,7419042,"Lassea",1975,"GRC",1807,753,2520,"T","CH","chemical tanker","L","","","","20/02/2018"
12241,6417035,"Alexandros I",1964,"GRC",500,228,808,"T","CH","chemical tanker","L","","","","21/02/2018"
15333,7369118,"Ana",1974,"ALB",7564,2270,1642,"P","RR","passenger ro/ro","L","","117","","22/02/2018"
15737,6823131,"Solia",1968,"MLT",991,528,1545,"T","CH","chemical tanker","L","","","","22/02/2018"
16121,7004342,"Skorpion",1970,"EST",1660,771,2842,"T","BK","bunkering tanker","L","","","","22/02/2018"
17060,7392610,"Freyja",1974,"MLT",1665,747,2200,"T","CH","chemical tanker","L","","","","22/02/2018"
17117,7012387,"Force 1",1970,"TUR",992,748,1150,"T","PD","product tanker","L","","","","21/02/2018"
17337,7113686,"Aleksandr Glukhov",1971,"RUS",1573,472,1986,"T","AS","asphalt tanker","L","","","","22/02/2018"
17362,7303231,"Falconia",1973,"TGO",3013,904,1859,"M","LV","livestock","L","","","","21/02/2018"
17420,7208699,"Captain Giannis",1972,"GRC",996,381,1900,"T","CH","chemical tanker","L","","","","20/02/2018"
20360,7230666,"White Purl",1972,"PAN",9496,3403,11832,"L","PG","Liquefied Petroleum Gas Carrier","L","","","5500","22/02/2018"
20771,6902004,"Agia Zoni III",1969,"GRC",986,381,1928,"T","CH","chemical tanker","L","","","","20/02/2018"
21507,7121633,"Bebatik",1972,"BRN",48612,14583,51579,"L","NG","Liquefied Natural Gas Carrier","L","","","","21/02/2018"
23176,7305253,"Corsica Victoria",1973,"ITA",13005,5973,2643,"P","RR","passenger ro/ro","L","","","","22/02/2018"
23200,7347768,"Belanak",1975,"BRN",48612,14583,51579,"L","NG","Liquefied Natural Gas Carrier","L","","","","21/02/2018"
24071,7204930,"Soechi Anindya",1971,"IDN",3259,1794,4992,"T","PD","product tanker","L","","","","22/02/2018"
24125,7208106,"Jigawa",1972,"MDA",2758,1482,2368,"M","VE","vehicle carrier","L","","","","21/02/2018"
24465,6522945,"Akvatrans",1965,"NOR",310,138,457,"T","PD","product tanker","L","","","","21/02/2018"
26253,6703989,"Inagua Spray",1966,"PAN",1297,239,2540,"P","RR","passenger ro/ro","L","","","","20/02/2018"
30447,7330052,"Viscaria",1973,"NIS",1859,558,2437,"T","AS","asphalt tanker","L","4050","","","22/02/2018"
30456,7015509,"Janay",1970,"TGO",1283,795,1230,"M","LV","livestock","L","3543","","","20/02/2018"
31257,7642223,"Jessica Wave",1968,"NGA",915,391,1591,"T","CH","chemical tanker","L","","","","20/02/2018"
32067,5189136,"Eastcoast",1961,"MLT",836,250,736,"B","CE","bulk cement carrier","L","","","","21/02/2018"
33042,7221275,"Star Aruba",1972,"NLD",1161,419,1516,"T","EO","edible oil tanker","L","2207","62","899","22/02/2018"
35507,6700901,"Agia Kyriaki",1967,"GRC",466,471,1215,"T","CH","chemical tanker","L","","","","21/02/2018"
41422,7128760,"Nabolsi I",1972,"PAN",1259,734,1405,"M","LV","livestock","L","3044","71","","22/02/2018"
43720,6915738,"Novik",1968,"RUS",1614,546,1590,"T","PD","product tanker","L","","","","21/02/2018"
44415,6513231,"Grigoris P.",1965,"GRC",497,305,1040,"T","PD","product tanker","L","","","","20/02/2018"
45212,7364144,"Ostanvik",1974,"SWE",4013,1203,4940,"B","CE","bulk cement carrier","L","4028","","","22/02/2018"
45217,7038680,"Tarco Sea",1971,"NIS",1300,390,1263,"T","CH","chemical tanker","L","2885","","","21/02/2018"
46107,7024548,"Capetan Michalis",1970,"TGO",1777,500,1650,"T","CH","chemical tanker","D","1840","","","21/02/2018"
46116,6519144,"Karim Allah",1965,"LBN",2588,884,1722,"M","LV","livestock","L","5862","","","20/02/2018"
50516,7304912,"Mwafak",1973,"TZA",3495,873,1194,"M","LV","livestock","L","10081","","","21/02/2018"
50675,7382665,"Wilson Reef",1975,"MLT",3883,2133,6258,"B","BU","bulk carrier","L","7697","","","22/02/2018"
50751,5422203,"Tankos",1963,"FIN",326,131,385,"L","PG","Liquefied Petroleum Gas Carrier","L","","","","21/02/2018"
51214,7026871,"Phoenix I",1971,"PAN",3356,2116,3089,"M","LV","livestock","L","4277","167","","19/02/2018"
51675,7382495,"Wilson Ross",1974,"MLT",3883,2133,6258,"B","BU","bulk carrier","L","7697","","","21/02/2018"
52345,7026663,"Rami M.",1970,"LBN",2917,875,3600,"M","LV","livestock","L","","","","20/02/2018"
54164,7227205,"USNS Gilliland",1972,"USA",67671,20301,40824,"M","VE","vehicle carrier","L","","2272","","22/02/2018"
55060,6420991,"Dimitra",1964,"GRC",873,441,1391,"T","BK","bunkering tanker","L","","","","21/02/2018"
55671,7368815,"Britta K.",1974,"SLE",1598,1131,1169,"M","LV","livestock","L","3942","27","","21/02/2018"
56053,6703343,"Equality",1966,"LBN",6542,1963,2045,"M","LV","livestock","L","","","","21/02/2018"
56714,6514376,"Bellona",1965,"RUS",2366,948,3796,"T","PD","product tanker","L","","","","22/02/2018"
56744,7360605,"Moby Vincent",1974,"ITA",12187,3671,2541,"P","RR","passenger ro/ro","L","","","","19/02/2018"
57124,7113375,"Georgios L.",1971,"GRC",2026,1015,3184,"T","PD","product tanker","L","","","","21/02/2018"
57136,7038965,"Yong Xing 11",1970,"CHN",11711,6682,18500,"B","BU","bulk carrier","L","24148","","","21/02/2018"
60073,7326178,"Feyza Nur",1973,"TUR",816,322,1103,"T","BK","bunkering tanker","L","","","","22/02/2018"
60503,5352381,"Tritonas",1954,"GRC",228,128,406,"T","PD","product tanker","L","","","","21/02/2018"
61664,6810251,"Sea Pet I",1968,"PAN",1324,468,1622,"L","PG","Liquefied Petroleum Gas Carrier","L","","","","21/02/2018"
61714,6927092,"LSS Success",1970,"PAN",1370,411,996,"M","LV","livestock","L","3205","64","","20/02/2018"
63035,7222982,"Dalal K.",1972,"TZA",1895,1127,2315,"M","LV","livestock","L","3020","","","22/02/2018"
63420,7362081,"Cristobal Trader",1974,"PAN",3121,1130,4526,"T","AS","asphalt tanker","L","","","","22/02/2018"
63750,6600618,"Vastanvik",1966,"SWE",2199,738,3019,"B","CE","bulk cement carrier","L","2713","","1356","22/02/2018"
64236,7406772,"Suha Queen II",1975,"TGO",1787,1070,2620,"M","LV","livestock","L","3398","","","22/02/2018"
65527,7423249,"Fjordvik",1975,"BHS",3091,927,4081,"B","CE","bulk cement carrier","L","3007","","","20/02/2018"
65706,6518358,"Hamzah Livestock",1965,"LBN",926,553,1084,"M","LV","livestock","L","2248","","","21/02/2018"
67347,7382500,"Fatima M.",1976,"SLE",3890,2048,6085,"B","BU","bulk carrier","L","7697","","","22/02/2018"
67606,7411258,"Via Mare",1976,"TUR",8023,2406,3927,"P","RR","passenger ro/ro","L","","","","21/02/2018"
70463,7342275,"Agia Zoni I",1976,"GRC",1483,672,2324,"T","CO","Combined chemical and oil tanker","L","","","1286","20/02/2018"
70631,7390181,"LNG Aquarius",1977,"IDN",95084,28525,72622,"L","NG","Liquefied Natural Gas Carrier","L","","","30202","19/02/2018"
71022,7405015,"Misr Gas",1976,"VCT",9367,2810,9551,"L","PG","Liquefied Petroleum Gas Carrier","L","","","5798","21/02/2018"
71133,7026065,"Titika",1968,"GRC",1539,553,1618,"T","PD","product tanker","L","","","","20/02/2018"
71676,7382988,"Asphalt Princess",1976,"PLW",5746,3048,9748,"T","AS","asphalt tanker","L","","","3200","19/02/2018"
72366,7230599,"Marko Polo",1973,"HRV",10154,4730,1132,"P","RR","passenger ro/ro","L","","","","22/02/2018"
73162,7427154,"Adriana",1976,"GRC",2564,1095,3560,"T","CH","chemical tanker","L","","","","22/02/2018"
73421,7349039,"Corsica Marina Seconda",1974,"ITA",12035,3703,2151,"P","RR","passenger ro/ro","L","","","","21/02/2018"
73660,7360617,"Sardinia Vera",1975,"ITA",12107,3742,2840,"P","RR","passenger ro/ro","L","","","","21/02/2018"
75402,7423926,"Dart",1976,"DIS",926,277,1150,"T","TA","Tanker (unspecified)","L","","","","20/02/2018"
75777,7419200,"Sea Scanner",1976,"SLE",3885,2048,6085,"B","BU","bulk carrier","L","7698","","","21/02/2018"
76000,7414183,"Mody M.",1976,"SLE",3885,2048,6085,"B","BU","bulk carrier","L","7697","","","20/02/2018"
76744,7434949,"Julia Ak",1976,"LBN",4824,2919,7850,"M","LV","livestock","L","10082","239","","22/02/2018"
77176,6329020,"Great Balboa",1963,"PAN",2444,1598,4593,"T","PD","product tanker","L","","","","22/02/2018"
100131,6511128,"Red Star 1",1965,"PAN",5762,1936,1199,"P","RR","passenger ro/ro","L","","","","22/02/2018"
101370,7525463,"Hua Heng 168",1977,"CHN",29286,15619,46565,"B","BU","bulk carrier","L","59096","","","20/02/2018"
101715,7527849,"Cemstar",1977,"MHL",4082,1289,6088,"B","CE","bulk cement carrier","L","5018","","","21/02/2018"
102362,7731452,"Explorer II",1944,"GRC",497,297,962,"T","PD","product tanker","L","","","","20/02/2018"
102737,6813370,"Jadro",1968,"HRV",998,372,1416,"B","CE","bulk cement carrier","L","1222","","","20/02/2018"
104255,7391783,"Islas Dos",1975,"PAN",3375,1513,5540,"B","CE","bulk cement carrier","L","5522","","","22/02/2018"
104555,6727193,"Nearchos",1968,"GRC",4163,1832,544,"P","RR","passenger ro/ro","L","","","","20/02/2018"
104650,7521651,"Express Pegasus",1977,"GRC",4863,3176,5995,"P","RR","passenger ro/ro","L","","","","22/02/2018"
104762,7423732,"Santa Maria",1977,"MLT",2813,1334,4501,"T","PD","product tanker","L","","","","21/02/2018"
106053,7396238,"Cendrawasih/Permina 3005",1977,"IDN",19653,12220,36504,"T","PD","product tanker","L","","","","21/02/2018"
