OPPORTUNITIES BY SALES STAGE



Results

Opportunity Name,Opportunity Amount,Sales Stage,Probability (%),Expected Close Date,assigned user id => Users User Name

Draft
"abcd bedroom & home theater","Rs85,000.00","Draft","40.00","18-02-2013","Abdul"
"LWF @ Nizampet site","Rs0.00","Draft","40.00","21-08-2013","Abdul"
"SWF @ murty & Manyam","Rs180,000.00","Draft","40.00","31-10-2013","Abdul"
"Grass @ Himayathnagar","Rs150,000.00","Draft","40.00","01-11-2013","Abdul"
"Allianz Multi Services","Rs55,000.00","Draft","40.00","29-10-2013","Abdul"
"Surender OWF","Rs900,000.00","Draft","40.00","12-10-2013","Abdul"
"pergola @ kokapet","Rs0.00","Draft","40.00","22-08-2013","Abdul"
"mahidhara site chennai","Rs0.00","Draft","40.00","13-08-2013","Abdul"
"Nighbourhood Projects","Rs0.00","Draft","40.00","16-08-2013","Abdul"
"LWF @ secunderabad club","Rs190,000.00","Draft","40.00","17-10-2013","Abdul"
"LWF @ NTV Jitender redddy","Rs55,000.00","Draft","40.00","02-10-2013","Abdul"
"Pergola","Rs400,000.00","Draft","40.00","19-07-2013","abharti"
"woodstock","Rs150,000.00","Draft","40.00","30-06-2013","abharti"
"Vinyl & Wooden Flooring","Rs650,000.00","Draft","40.00","22-06-2013","abharti"
"The Leela","Rs1,300,000.00","Draft","40.00","20-07-2013","abharti"
"EWF","Rs900,000.00","Draft","40.00","31-08-2013","abharti"
"RESORT  CASA SEVERINA","Rs25,000.00","Draft","40.00","10-02-2012","admin"
"QUOTN TO DILIP TIMBLO","Rs34,000.00","Draft","40.00","13-03-2012","admin"
"S KUMAR NATIONWIDE","Rs912,000.00","Draft","40.00","29-02-2012","admin"
"Contact Opportunity Mine","Rs35,000.00","Draft","40.00","16-07-2014","admin"
"Hortus Oil","Rs4,000.00","Draft","100.00","14-02-2012","admin"
"Radisson Hotel","Rs300,000.00","Draft","40.00","31-03-2012","admin"
"Mind Tree","Rs154,000.00","Draft","40.00","11-07-2014","admin"
"Suzie Adams 110","Rs50,000.00","Draft","70.00","11-07-2014","admin"
"lmf","Rs30,000.00","Draft","40.00","09-03-2012","admin"
"Danish Pvt. India Ltd.","Rs50,000.00","Draft","40.00","12-07-2014","admin"
"vpl projects","Rs350,000.00","Draft","40.00","15-03-2012","admin"
"Nodia","Rs3,500,000.00","Draft","40.00","31-07-2014","admin"
"krishnam raju","Rs240,000.00","Draft","40.00","16-03-2012","admin"
"design studio","Rs750,000.00","Draft","40.00","01-02-2012","admin"
"Design harmony","Rs125,000.00","Draft","40.00","30-06-2013","Ajimon"
"Artificial Turf","Rs500,000.00","Draft","40.00","20-06-2014","Ajimon"
"Equipment Room","Rs45,000.00","Draft","40.00","19-05-2014","Ajimon"
"Dr. Shodhan","Rs115,000.00","Draft","40.00","30-09-2013","Ajimon"
"LWF Flooring- Vijaykumar","Rs55,000.00","Draft","40.00","28-07-2014","Ajimon"
"Cubes Interiors","Rs150,000.00","Draft","40.00","31-10-2013","Ajimon"
"Ace Homes","Rs50,000.00","Draft","40.00","20-08-2013","Ajimon"
"C.V. Bala Sankar","Rs75,000.00","Draft","40.00","12-04-2014","Ajimon"
"Artificial turf-Santhosh","Rs220,000.00","Draft","40.00","10-04-2014","Ajimon"
"Aravindakshan","Rs100,000.00","Draft","60.00","30-07-2013","Ajimon"
"Deck Flooring-Nithin John","Rs130,000.00","Draft","40.00","18-07-2014","Ajimon"
"HO-Optima vinyl flooring","Rs125,000.00","Draft","60.00","10-08-2013","Ajimon"
"Wooden flooring","Rs100,000.00","Draft","40.00","05-06-2014","Ajimon"
"Idea design","Rs80,000.00","Draft","40.00","13-09-2013","Ajimon"
"sports wooden flooring","Rs5,000,000.00","Draft","40.00","30-04-2014","Ajimon"
"sports flooring","Rs50,000.00","Draft","40.00","26-05-2014","Ajimon"
"LWF Flooring- Vijaykumar","Rs50,000.00","Draft","40.00","26-07-2014","Ajimon"
"Wooden flooring- Right edge","Rs600,000.00","Draft","40.00","10-06-2014","Ajimon"
"Deck Flooring","Rs50,000.00","Draft","40.00","10-06-2014","Ajimon"
"Mother Hospital","Rs1,000,000.00","Draft","40.00","25-09-2013","Ajimon"
"Indira Gandhi Co-poperative Hospital","Rs25,000.00","Draft","40.00","31-03-2014","Ajimon"
"The Dunes,cochin","Rs60,000.00","Draft","40.00","26-05-2014","Ajimon"
"Sports Flooring","Rs13,000,000.00","Draft","40.00","10-09-2014","Alok"
"American Walnut","Rs20,000.00","Draft","40.00","17-07-2014","Amol"
"Artificial Turf 40MM","Rs30,000.00","Draft","40.00","21-07-2014","Amol"
"Dealer Display","Rs0.00","Draft","40.00","17-07-2014","Amol"
"OAK COGNAC","Rs65,000.00","Draft","40.00","05-03-2013","Amol"
"OPTIMA 836","Rs50,000.00","Draft","40.00","16-06-2014","Amol"
"S S WALIMBE MERBAU","Rs243,431.22","Draft","40.00","28-01-2013","Amol"
"Wooden + Vinyl","Rs50,000.00","Draft","40.00","11-07-2014","Amol"
"SPF - Omnisports Reference","Rs100,000.00","Draft","40.00","02-07-2014","Amol"
"LF- Waltz Coffee Oak","Rs100,000.00","Draft","40.00","30-04-2014","Amol"
"Tapiflex Excellence 65-Flocons","Rs3,500,000.00","Draft","40.00","30-07-2014","Amol"
"SW-Walnut Herringbone","Rs90,000.00","Draft","40.00","07-07-2014","Amol"
"LF- BASIC SMOKED OAK","Rs25,000.00","Draft","40.00","28-06-2014","Amol"
"Ruby","Rs50,000.00","Draft","40.00","23-07-2014","Amol"
"MOCHA","Rs10,000.00","Draft","40.00","15-04-2014","Amol"
"LWF- Waltz Coffee Oak","Rs60,000.00","Draft","40.00","30-04-2014","Amol"
"pvc- ruby hall","Rs200,000.00","Draft","40.00","06-03-2013","Amol"
"Kapil Project @ Gachibowli","Rs2,200,000.00","Draft","40.00","15-07-2014","Anil"
"AS for Care Banjara","Rs175,000.00","Draft","40.00","30-06-2014","Anil"
"OWF,EWF & LWF","Rs450,000.00","Draft","40.00","30-05-2014","Anil"
"LWF or EWF or SWF","Rs200,000.00","Draft","40.00","31-07-2014","Anil"
"Artifical Turf","Rs25,000.00","Draft","40.00","30-06-2013","Anil"
"Mr. Lalit Mohan Mittal","Rs200,000.00","Draft","80.00","18-06-2014","Ankita"
"TORO SC 107","Rs78,320.08","Draft","40.00","28-02-2014","Arshad"
"Vinoba bhave rural hospital, wardha","Rs861,000.00","Draft","40.00","25-07-2014","Arshad"
"Stellar Space","Rs1,160,998.00","Draft","40.00","23-05-2014","Arshad"
"Kasturba Hospital, Wardha.","Rs702,000.00","Draft","40.00","25-07-2014","Arshad"
"Cadila Health Care Ltd","Rs240,000.00","Draft","40.00","01-09-2012","Arshad"
"Mac-chem  Products (I) Pvt Ltd","Rs623,776.00","Draft","40.00","28-03-2014","Arshad"
"Lata Mangeshkar Hospital, Nagpur","Rs526,000.00","Draft","40.00","25-07-2014","Arshad"
"Zydus Hospira","Rs196,500.00","Draft","40.00","28-03-2014","Arshad"
"residentail project","Rs1,500,000.00","Draft","60.00","31-07-2014","Atal"
"Dr. paul","Rs45,000.00","Draft","40.00","30-09-2014","Atal"
"MVL","Rs400,000.00","Draft","40.00","30-09-2014","Atal"
"Galgottia University","Rs400,000.00","Draft","40.00","31-07-2014","Atal"
"UP Goverenment University","Rs1,500,000.00","Draft","40.00","11-06-2014","Atal"
"Devinder singh","Rs20,000.00","Draft","40.00","01-09-2014","Atal"
"senior citizen","Rs25,000,000.00","Draft","60.00","09-10-2014","Atal"
"Designboard","Rs100,000.00","Draft","40.00","31-10-2014","Atal"
"manish mewar","Rs500,000.00","Draft","60.00","15-05-2014","Atal"
"Kapoor & Associates","Rs1,000,000.00","Draft","40.00","30-09-2014","Atal"
"modi guest house","Rs500,000.00","Draft","60.00","30-06-2014","Atal"
"shiv  nadar school","Rs1,000,000.00","Draft","40.00","15-05-2014","Atal"
"Flooring For OT","Rs200,000.00","Draft","40.00","30-04-2014","Bharat"
"Homogeneous flooring for Hospital","Rs500,000.00","Draft","50.00","30-04-2014","Bharat"
"Outdoor Wood Flooring","Rs500,000.00","Draft","40.00","31-05-2014","Bharat"
"Homogeneous Flooring","Rs200,000.00","Draft","40.00","30-04-2014","Bharat"
"Wallgard","Rs450,000.00","Draft","40.00","30-04-2014","Bharat"
"Flooring for OT","Rs150,000.00","Draft","40.00","30-04-2014","Bharat"
"Vinyl Flooring: Joseph James","Rs20,000.00","Draft","40.00","24-06-2014","Bipin"
"Nithin Hackney","Rs110,000.00","Draft","40.00","19-06-2014","Bipin"
"Wooden Flooring: Joseph James","Rs18,000.00","Draft","40.00","24-06-2014","Bipin"
"Vinyl Flooring: Zerine Jamshedji","Rs75,000.00","Draft","40.00","20-06-2014","Bipin"
"Mayura Hotel","Rs230,000.00","Draft","40.00","29-07-2014","Bipin"
"Wooden Flooring - Sony Mathew","Rs30,000.00","Draft","40.00","25-06-2014","Bipin"
"Jestin Jose Palm decking","Rs55,000.00","Draft","40.00","16-06-2014","Bipin"
"Panoramic Resorts Munnar","Rs12,000.00","Draft","40.00","31-07-2014","Bipin"
"Vinyl Flooring: Alazar Hospital","Rs465,000.00","Draft","40.00","30-06-2014","Bipin"
"Divi Thampi","Rs15,000.00","Draft","40.00","18-07-2014","Bipin"
"Solid Wood : Zerine Jamshedji","Rs200,000.00","Draft","40.00","26-06-2014","Bipin"
"Artificial turf - Titto george","Rs140,000.00","Draft","40.00","12-06-2014","Bipin"
"Artificial Turf For Jinu Panampilly Nagar","Rs57,000.00","Draft","40.00","31-07-2014","Bipin"
"HOD Office","Rs310,000.00","Draft","90.00","10-04-2013","Chidanand"
"ESI Hospital- RD Office","Rs200,000.00","Draft","40.00","15-05-2013","Chidanand"
"First Floor","Rs2,400,000.00","Draft","90.00","25-06-2013","Chidanand"
"BOQ for Project Society General","Rs350,000.00","Draft","40.00","25-02-2013","Chidanand"
"Directors office","Rs410,000.00","Draft","50.00","05-07-2013","Chidanand"
"HPCL","Rs5,000,000.00","Draft","40.00","20-09-2012","Chidanand"
"Rjajinagar Medical Collage","Rs0.00","Draft","40.00","22-05-2013","Chidanand"
"Ground Floor","Rs12,000.00","Draft","100.00","15-03-2013","Chidanand"
"Prestige Hilton Hotel","Rs0.00","Draft","40.00","25-06-2013","Chidanand"
"ANZ -MTP","Rs25,000.00","Draft","100.00","10-05-2013","Chidanand"
"Robo Remedies","Rs0.00","Draft","70.00","20-05-2013","Chidanand"
"R & D Area","Rs350,000.00","Draft","90.00","20-06-2013","Chidanand"
"Office Area","Rs193,500.00","Draft","40.00","13-03-2013","Chidanand"
"Desai Trading - Mission Hospital, Durgapur","Rs300,000.00","Draft","40.00","30-04-2014","Diptendu"
"SPS Synergy - Optima","Rs275,000.00","Draft","40.00","31-08-2013","Diptendu"
"Salarpuria - Omnisports & Ruby (Durgapur Project)","Rs800,000.00","Draft","40.00","31-08-2014","Diptendu"
"BMRC Hospital - Primo Premium","Rs250,000.00","Draft","40.00","28-02-2014","Diptendu"
"Shikharchandi - RBI Omnisports","Rs425,000.00","Draft","40.00","30-06-2014","Diptendu"
"Shikharchandi - 24.07.14","Rs47,000.00","Draft","40.00","31-07-2014","Diptendu"
"Shikharchandi - SWF & EWF (balance quantity)","Rs750,000.00","Draft","40.00","31-03-2014","Diptendu"
"SWF-Teak & Strandwoven Bamboo - Virginia","Rs50,000.00","Draft","40.00","15-04-2014","Faiza"
"EWF- Walnut","Rs100,000.00","Draft","40.00","30-04-2014","Faiza"
"Autmn Oak-","Rs20,000.00","Draft","40.00","31-03-2014","Faiza"
"Haris - Waltz Wenge, Smoked Oak, Tuscany Oak","Rs50,000.00","Draft","40.00","30-04-2014","Faiza"
